Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-1377,2021-05-17,2022-01-27,CUST-981,Eve,Corporate,Texas,West,PROD-446,Technology,Desk,Chair Model Z,171.58,4,0.14,-11.62
ORD-5488,2022-06-23,2023-04-01,CUST-346,Charlie,Home Office,New York,Central,PROD-527,Technology,Pen,Desk Model Z,1174.13,9,0.05,73.48
ORD-5797,2022-11-20,2021-04-09,CUST-273,Charlie,Corporate,Illinois,West,PROD-484,Technology,Chair,Monitor Model X,968.75,2,0.25,-87.93
ORD-4307,2022-12-20,2023-09-20,CUST-495,Eve,Corporate,New York,South,PROD-853,Office Supplies,Pen,Notebook Model Y,593.48,9,0.15,5.14
ORD-3596,2023-07-22,2023-02-20,CUST-108,Grace,Consumer,Florida,West,PROD-974,Technology,Printer,Tablet Model X,144.62,9,0.02,19.33
ORD-1783,2021-11-02,2021-12-07,CUST-547,Eve,Home Office,New York,South,PROD-449,Furniture,Laptop,Chair Model Y,911.48,2,0.01,57.78
ORD-6924,2022-01-23,2021-05-13,CUST-887,Bob,Corporate,California,East,PROD-390,Furniture,Monitor,Chair Model X,1262.72,7,0.08,109.39
ORD-3379,2022-12-26,2021-07-30,CUST-670,Eve,Corporate,Texas,West,PROD-610,Furniture,Printer,Monitor Model X,642.65,4,0.21,-90.09
ORD-8831,2023-07-04,2023-10-27,CUST-696,Grace,Consumer,New York,East,PROD-450,Office Supplies,Desk,Notebook Model X,648.09,5,0.13,43.51
ORD-6267,2022-07-03,2022-01-13,CUST-761,Bob,Consumer,New York,East,PROD-623,Office Supplies,Printer,Tablet Model Z,1243.49,5,0.16,-107.87
ORD-8638,2022-05-21,2022-10-03,CUST-420,Eve,Consumer,Illinois,West,PROD-715,Office Supplies,Desk,Desk Model Y,331.68,9,0.04,32.83
ORD-3538,2022-01-23,2023-12-15,CUST-671,Grace,Home Office,California,Central,PROD-646,Office Supplies,Chair,Printer Model Y,275.25,6,0.22,-14.78
ORD-1861,2021-10-20,2022-03-18,CUST-224,Grace,Consumer,Illinois,Central,PROD-325,Technology,Monitor,Tablet Model X,1049.46,1,0.11,-61.81
ORD-2876,2021-06-28,2021-08-30,CUST-140,Bob,Home Office,New York,West,PROD-778,Technology,Notebook,Monitor Model Z,991.57,5,0.1,57.51
ORD-4526,2022-11-03,2022-05-17,CUST-436,Eve,Consumer,Florida,South,PROD-739,Technology,Laptop,Chair Model Z,1369.95,1,0.17,-118.35
ORD-2622,2021-03-21,2021-01-24,CUST-784,Eve,Corporate,Illinois,East,PROD-451,Technology,Printer,Desk Model Y,514.69,7,0.23,-78.69
ORD-6518,2023-11-04,2022-09-25,CUST-871,Charlie,Home Office,Illinois,South,PROD-815,Technology,Pen,Tablet Model Z,318.96,3,0.01,16.31
ORD-3657,2023-12-14,2023-10-15,CUST-425,Diana,Consumer,California,East,PROD-528,Technology,Desk,Printer Model Y,654.67,2,0.01,44.96
ORD-2932,2022-03-23,2021-06-25,CUST-784,Diana,Consumer,Illinois,West,PROD-895,Furniture,Laptop,Printer Model Y,588.01,7,0.03,65.56
ORD-9699,2023-02-05,2021-07-18,CUST-285,Bob,Corporate,Illinois,West,PROD-822,Office Supplies,Pen,Laptop Model Y,1408.38,9,0.25,-70.61
ORD-4478,2023-12-25,2021-04-10,CUST-340,Alice,Corporate,Texas,Central,PROD-569,Office Supplies,Monitor,Laptop Model Z,1378.06,5,0.26,-172.07
ORD-3656,2022-05-18,2023-01-16,CUST-438,Frank,Corporate,New York,East,PROD-622,Technology,Notebook,Pen Model Y,653.66,4,0.19,-32.22
ORD-1289,2022-07-24,2022-03-30,CUST-193,Charlie,Consumer,California,East,PROD-383,Furniture,Printer,Monitor Model Y,630.49,5,0.01,62.04
ORD-8011,2021-04-06,2023-09-02,CUST-515,Eve,Corporate,Illinois,South,PROD-843,Technology,Tablet,Notebook Model X,678.59,7,0.23,-118.32
ORD-6858,2022-08-08,2022-05-15,CUST-162,Charlie,Corporate,New York,West,PROD-119,Technology,Pen,Tablet Model Y,1101.73,4,0.26,-110.43
ORD-8323,2021-09-05,2021-05-22,CUST-832,Alice,Home Office,California,East,PROD-854,Technology,Laptop,Tablet Model Y,834.09,9,0.27,-173.71
ORD-3829,2021-05-07,2023-02-13,CUST-619,Charlie,Home Office,Illinois,West,PROD-471,Office Supplies,Printer,Notebook Model X,446.13,6,0.24,-36.65
ORD-6962,2022-05-14,2021-06-25,CUST-824,Alice,Home Office,Florida,East,PROD-413,Office Supplies,Notebook,Pen Model X,1157.72,3,0.13,52.28
ORD-5812,2021-02-15,2022-02-25,CUST-308,Frank,Consumer,Texas,South,PROD-907,Furniture,Pen,Chair Model Z,1357.67,2,0.14,-76.64
ORD-8264,2023-09-09,2022-11-08,CUST-308,Alice,Home Office,California,Central,PROD-874,Furniture,Desk,Chair Model Y,1082.28,4,0.15,17.71
ORD-9758,2021-09-25,2022-06-17,CUST-475,Alice,Consumer,Florida,East,PROD-953,Technology,Tablet,Pen Model Z,308.09,9,0.14,14.42
ORD-2473,2021-04-04,2023-07-08,CUST-184,Grace,Corporate,California,West,PROD-520,Furniture,Laptop,Chair Model Z,1191.82,2,0.15,-19.51
ORD-2987,2023-01-06,2021-12-28,CUST-306,Alice,Consumer,California,South,PROD-867,Furniture,Chair,Laptop Model X,1483.65,3,0.02,139.6
ORD-8673,2022-09-04,2022-03-23,CUST-446,Alice,Consumer,Texas,West,PROD-512,Furniture,Chair,Tablet Model Z,1034.03,3,0.24,-110.93
ORD-4260,2021-03-12,2022-07-11,CUST-764,Eve,Corporate,Florida,East,PROD-175,Technology,Tablet,Pen Model Y,380.95,5,0.0,65.08
ORD-8490,2022-08-16,2022-12-10,CUST-260,Charlie,Home Office,Illinois,Central,PROD-448,Technology,Laptop,Tablet Model X,28.21,5,0.01,3.74
ORD-7739,2022-03-25,2022-07-16,CUST-549,Diana,Home Office,New York,South,PROD-519,Office Supplies,Chair,Notebook Model Y,590.4,7,0.01,73.58
ORD-4251,2022-09-12,2023-09-25,CUST-215,Diana,Home Office,Florida,Central,PROD-646,Technology,Pen,Printer Model Y,715.97,1,0.27,-113.96
ORD-6905,2022-09-06,2021-03-01,CUST-461,Eve,Corporate,California,Central,PROD-718,Office Supplies,Monitor,Laptop Model X,1366.29,2,0.3,-336.28
ORD-6300,2021-04-01,2023-06-05,CUST-350,Bob,Consumer,Florida,West,PROD-761,Furniture,Chair,Desk Model Y,937.13,5,0.09,-16.81
ORD-6054,2023-05-27,2023-08-26,CUST-282,Frank,Corporate,New York,West,PROD-373,Furniture,Desk,Laptop Model X,436.8,5,0.04,37.92
ORD-2716,2022-06-12,2023-08-04,CUST-775,Grace,Corporate,Florida,South,PROD-540,Technology,Desk,Pen Model Y,1043.76,7,0.01,142.87
ORD-2310,2023-02-14,2021-09-21,CUST-427,Alice,Corporate,New York,Central,PROD-185,Office Supplies,Monitor,Desk Model X,156.44,7,0.27,-30.21
ORD-1617,2022-11-03,2021-07-16,CUST-691,Charlie,Corporate,Texas,East,PROD-694,Furniture,Laptop,Printer Model Z,335.88,3,0.11,14.06
ORD-5257,2023-02-04,2021-12-21,CUST-106,Alice,Consumer,California,East,PROD-645,Furniture,Notebook,Pen Model Y,1121.85,4,0.15,-24.08
ORD-7099,2021-12-27,2023-06-06,CUST-936,Grace,Home Office,Illinois,East,PROD-556,Furniture,Laptop,Monitor Model X,459.9,2,0.11,18.64
ORD-1468,2022-01-13,2023-07-31,CUST-698,Alice,Home Office,Florida,East,PROD-429,Office Supplies,Desk,Tablet Model Y,66.09,2,0.27,-9.31
ORD-6905,2021-12-11,2023-07-05,CUST-619,Diana,Corporate,Texas,West,PROD-182,Office Supplies,Printer,Printer Model Y,755.22,3,0.25,-102.57
ORD-2139,2023-03-09,2021-02-17,CUST-486,Alice,Consumer,Florida,Central,PROD-713,Technology,Chair,Tablet Model Y,993.91,7,0.27,-171.79
ORD-9728,2022-03-31,2023-01-24,CUST-469,Grace,Corporate,Texas,Central,PROD-620,Technology,Pen,Chair Model X,1187.75,6,0.13,-65.43
ORD-1951,2023-06-27,2021-08-19,CUST-647,Charlie,Consumer,New York,South,PROD-918,Furniture,Laptop,Monitor Model Z,472.93,1,0.07,-3.35
ORD-9012,2021-03-08,2023-01-28,CUST-862,Charlie,Corporate,Texas,East,PROD-639,Furniture,Monitor,Monitor Model Z,648.37,9,0.18,-0.99
ORD-4006,2023-09-14,2021-11-13,CUST-711,Diana,Home Office,New York,Central,PROD-321,Technology,Notebook,Printer Model Z,843.71,1,0.06,60.33
ORD-7075,2023-09-06,2023-02-02,CUST-178,Eve,Home Office,Texas,West,PROD-892,Office Supplies,Desk,Monitor Model X,130.51,7,0.1,12.81
ORD-8890,2021-02-12,2024-01-07,CUST-897,Diana,Corporate,Florida,South,PROD-309,Office Supplies,Notebook,Desk Model Z,312.51,8,0.28,-32.32
ORD-6952,2021-08-17,2021-03-04,CUST-882,Diana,Home Office,Illinois,East,PROD-535,Office Supplies,Pen,Monitor Model X,566.5,6,0.26,-109.04
ORD-8077,2021-08-22,2021-08-27,CUST-320,Grace,Corporate,California,South,PROD-637,Technology,Monitor,Tablet Model Y,415.42,1,0.13,21.05
ORD-2971,2022-05-12,2021-03-20,CUST-807,Alice,Consumer,Illinois,Central,PROD-246,Office Supplies,Monitor,Tablet Model Y,709.43,2,0.1,47.13
ORD-2191,2023-04-28,2023-01-05,CUST-837,Bob,Consumer,Texas,West,PROD-318,Technology,Laptop,Pen Model Z,983.09,7,0.17,27.67
ORD-4920,2023-11-22,2022-07-14,CUST-698,Frank,Consumer,New York,Central,PROD-967,Furniture,Chair,Tablet Model X,818.74,5,0.23,-38.24
ORD-8765,2021-04-23,2023-08-03,CUST-669,Eve,Consumer,Florida,South,PROD-167,Office Supplies,Monitor,Pen Model Y,1165.83,9,0.06,50.83
ORD-7193,2023-08-31,2022-10-13,CUST-511,Eve,Corporate,California,West,PROD-404,Office Supplies,Desk,Tablet Model X,947.0,8,0.27,-117.16
ORD-4046,2022-04-04,2023-11-15,CUST-578,Grace,Home Office,California,Central,PROD-125,Technology,Printer,Desk Model X,452.03,4,0.06,38.69
ORD-1304,2021-01-06,2023-11-20,CUST-781,Eve,Consumer,Florida,Central,PROD-912,Office Supplies,Desk,Notebook Model Y,197.55,5,0.18,2.21
ORD-7339,2023-09-19,2021-12-18,CUST-196,Alice,Home Office,Texas,West,PROD-422,Office Supplies,Tablet,Pen Model X,966.74,3,0.16,-81.25
ORD-9043,2022-05-09,2023-07-03,CUST-757,Diana,Corporate,California,Central,PROD-728,Technology,Desk,Laptop Model Y,333.69,2,0.1,5.4
ORD-5908,2021-03-12,2021-12-17,CUST-492,Frank,Home Office,Florida,East,PROD-199,Technology,Tablet,Chair Model Y,491.62,5,0.17,-16.14
ORD-3804,2023-07-28,2022-04-22,CUST-567,Grace,Home Office,Texas,Central,PROD-746,Office Supplies,Laptop,Printer Model Y,1196.9,4,0.26,-250.27
ORD-4936,2022-11-05,2021-10-20,CUST-969,Grace,Home Office,Florida,South,PROD-877,Furniture,Tablet,Tablet Model X,345.47,7,0.1,-9.69
ORD-1712,2023-11-23,2023-06-08,CUST-470,Alice,Corporate,California,Central,PROD-592,Technology,Printer,Monitor Model Y,816.0,1,0.27,-100.29
ORD-7848,2021-05-23,2022-04-14,CUST-492,Charlie,Corporate,Illinois,West,PROD-807,Technology,Pen,Notebook Model X,160.34,6,0.02,16.17
ORD-9366,2023-01-06,2021-11-03,CUST-117,Bob,Corporate,California,East,PROD-761,Technology,Pen,Tablet Model Y,636.48,9,0.16,-45.33
ORD-4205,2022-12-27,2022-04-24,CUST-283,Bob,Home Office,California,Central,PROD-353,Technology,Laptop,Monitor Model Y,1470.81,6,0.09,-17.07
ORD-6185,2021-08-05,2022-03-26,CUST-242,Frank,Consumer,Illinois,Central,PROD-569,Technology,Pen,Chair Model Z,1432.49,9,0.28,-167.18
ORD-7506,2022-03-10,2021-08-19,CUST-562,Alice,Consumer,Texas,South,PROD-920,Technology,Pen,Chair Model Z,1420.96,2,0.01,162.79
ORD-2772,2023-04-14,2023-12-02,CUST-606,Diana,Home Office,Florida,South,PROD-128,Technology,Printer,Chair Model Z,900.84,8,0.01,75.01
ORD-2074,2023-12-14,2023-03-05,CUST-433,Eve,Consumer,Texas,Central,PROD-226,Office Supplies,Notebook,Monitor Model X,456.15,9,0.24,-63.26
ORD-6447,2022-12-21,2022-11-06,CUST-161,Frank,Consumer,Texas,South,PROD-290,Furniture,Pen,Tablet Model X,545.33,3,0.22,-30.33
ORD-9783,2023-07-31,2023-04-05,CUST-262,Frank,Home Office,Florida,Central,PROD-800,Furniture,Tablet,Chair Model Y,324.95,6,0.05,18.26
ORD-6264,2023-06-26,2023-04-17,CUST-651,Charlie,Corporate,Texas,West,PROD-923,Furniture,Laptop,Desk Model Y,164.44,5,0.28,-28.13
ORD-8322,2023-09-22,2023-11-12,CUST-278,Charlie,Consumer,New York,Central,PROD-220,Technology,Tablet,Pen Model Y,269.9,6,0.26,-35.79
ORD-7651,2021-02-24,2021-12-14,CUST-334,Grace,Corporate,California,West,PROD-335,Technology,Monitor,Monitor Model Y,711.55,9,0.07,-7.82
ORD-3410,2023-11-25,2021-01-11,CUST-991,Grace,Consumer,New York,East,PROD-924,Furniture,Printer,Monitor Model X,60.0,3,0.21,-3.11
ORD-7441,2023-05-11,2021-03-29,CUST-159,Frank,Home Office,Florida,West,PROD-136,Office Supplies,Monitor,Tablet Model Y,1410.01,8,0.13,-93.75
ORD-9685,2023-10-04,2022-06-30,CUST-327,Grace,Home Office,Illinois,East,PROD-368,Technology,Printer,Monitor Model Y,851.2,7,0.17,11.02
ORD-9737,2022-07-20,2023-05-24,CUST-338,Bob,Corporate,Illinois,East,PROD-324,Furniture,Printer,Monitor Model Z,276.81,9,0.24,-30.1
ORD-4956,2023-02-10,2022-12-17,CUST-667,Frank,Corporate,Florida,East,PROD-146,Furniture,Laptop,Chair Model Y,636.18,4,0.19,0.78
ORD-7553,2023-05-28,2021-01-05,CUST-845,Diana,Corporate,Florida,South,PROD-598,Furniture,Chair,Tablet Model Y,576.9,3,0.03,46.36
ORD-7869,2023-04-04,2023-11-14,CUST-183,Eve,Corporate,Texas,Central,PROD-555,Furniture,Monitor,Chair Model Y,1256.32,9,0.18,22.0
ORD-8531,2022-05-29,2023-06-21,CUST-814,Grace,Home Office,California,West,PROD-942,Office Supplies,Tablet,Pen Model X,198.33,3,0.06,16.16
ORD-4094,2023-05-12,2021-10-01,CUST-140,Bob,Home Office,New York,East,PROD-580,Technology,Laptop,Notebook Model Z,656.21,3,0.13,-40.35
ORD-3365,2022-02-26,2023-06-01,CUST-537,Diana,Home Office,Florida,West,PROD-803,Office Supplies,Chair,Pen Model Y,1072.74,1,0.12,15.46
ORD-7668,2022-06-01,2023-07-26,CUST-628,Eve,Corporate,Illinois,East,PROD-452,Office Supplies,Printer,Notebook Model Y,572.32,4,0.03,15.94
ORD-6000,2022-12-06,2021-01-03,CUST-204,Alice,Home Office,California,South,PROD-531,Technology,Tablet,Chair Model Z,549.24,7,0.03,47.24
ORD-8920,2023-03-20,2021-05-30,CUST-636,Diana,Home Office,California,East,PROD-587,Office Supplies,Printer,Pen Model Y,523.85,8,0.24,-46.64
ORD-4347,2021-02-13,2023-08-07,CUST-481,Frank,Consumer,Texas,East,PROD-702,Technology,Printer,Tablet Model X,1147.78,2,0.17,-114.52
ORD-4675,2023-05-08,2021-06-02,CUST-192,Frank,Consumer,Illinois,Central,PROD-593,Technology,Tablet,Printer Model Y,196.57,7,0.29,-42.33
ORD-1952,2023-03-12,2021-11-03,CUST-314,Charlie,Consumer,California,West,PROD-970,Furniture,Desk,Chair Model X,1287.92,9,0.29,-161.84
ORD-4300,2021-08-07,2023-06-02,CUST-795,Grace,Corporate,Illinois,Central,PROD-757,Office Supplies,Tablet,Notebook Model X,124.91,4,0.06,3.85
ORD-4179,2022-07-22,2022-04-21,CUST-316,Diana,Corporate,New York,South,PROD-217,Office Supplies,Notebook,Desk Model Y,492.13,9,0.26,-40.29
ORD-4247,2023-06-27,2023-03-19,CUST-588,Diana,Home Office,Illinois,West,PROD-272,Technology,Pen,Notebook Model Z,595.79,4,0.1,25.11
ORD-5415,2021-09-15,2024-01-01,CUST-250,Frank,Home Office,California,South,PROD-336,Furniture,Notebook,Desk Model X,602.51,1,0.05,49.41
ORD-4357,2023-08-19,2021-02-03,CUST-473,Frank,Corporate,Illinois,East,PROD-844,Furniture,Laptop,Monitor Model Z,297.76,6,0.14,-9.16
ORD-7472,2023-06-12,2023-02-18,CUST-869,Diana,Consumer,Illinois,South,PROD-123,Furniture,Tablet,Pen Model Y,912.68,4,0.09,94.77
ORD-6996,2021-10-16,2023-03-07,CUST-912,Eve,Home Office,Illinois,West,PROD-185,Technology,Laptop,Desk Model X,691.29,5,0.15,-4.38
ORD-5848,2023-08-30,2022-01-03,CUST-730,Eve,Consumer,California,West,PROD-670,Technology,Monitor,Notebook Model Y,860.01,8,0.19,-110.31
ORD-6475,2021-04-13,2021-09-20,CUST-548,Alice,Home Office,New York,West,PROD-866,Office Supplies,Tablet,Monitor Model Z,930.07,2,0.09,19.76
ORD-2037,2023-03-15,2022-10-09,CUST-521,Alice,Consumer,Illinois,Central,PROD-358,Office Supplies,Chair,Printer Model Y,303.18,9,0.16,-27.76
ORD-9262,2023-11-16,2022-06-23,CUST-745,Eve,Home Office,New York,East,PROD-166,Technology,Monitor,Tablet Model Y,1382.03,3,0.19,-41.19
ORD-8008,2021-10-29,2023-12-04,CUST-306,Grace,Consumer,California,West,PROD-113,Office Supplies,Tablet,Tablet Model X,1248.54,3,0.18,-115.49
ORD-6931,2023-12-15,2021-01-17,CUST-874,Eve,Consumer,Florida,South,PROD-195,Office Supplies,Notebook,Tablet Model Y,1246.04,6,0.28,-283.53
ORD-6642,2021-02-25,2021-04-16,CUST-933,Bob,Corporate,Illinois,South,PROD-556,Office Supplies,Chair,Desk Model Y,806.85,5,0.19,7.38
ORD-1105,2023-10-12,2023-03-03,CUST-801,Diana,Home Office,New York,South,PROD-883,Technology,Notebook,Printer Model Y,1233.68,6,0.1,25.67
ORD-1769,2022-01-09,2022-12-22,CUST-769,Diana,Consumer,Illinois,West,PROD-316,Technology,Laptop,Desk Model X,948.68,5,0.03,23.94
ORD-3940,2023-04-11,2023-12-20,CUST-576,Charlie,Corporate,Texas,West,PROD-808,Technology,Chair,Pen Model Z,686.82,8,0.15,-21.82
ORD-8899,2023-07-09,2023-10-07,CUST-687,Eve,Home Office,Texas,South,PROD-289,Technology,Notebook,Desk Model Z,1133.64,9,0.17,-89.61
ORD-7614,2022-04-02,2021-02-18,CUST-663,Eve,Corporate,California,South,PROD-560,Office Supplies,Chair,Printer Model Y,907.92,2,0.17,-10.05
ORD-6805,2021-05-12,2022-10-23,CUST-325,Alice,Consumer,New York,East,PROD-798,Office Supplies,Monitor,Printer Model X,22.98,9,0.17,-2.73
ORD-5355,2022-05-08,2023-03-13,CUST-705,Frank,Home Office,New York,West,PROD-450,Technology,Desk,Pen Model Y,1495.56,8,0.11,-59.01
ORD-1933,2021-04-20,2021-04-25,CUST-903,Alice,Consumer,Illinois,South,PROD-248,Office Supplies,Tablet,Printer Model Z,656.18,1,0.29,-122.65
ORD-9766,2022-08-05,2021-10-24,CUST-902,Frank,Consumer,Texas,West,PROD-523,Office Supplies,Laptop,Notebook Model X,866.16,8,0.18,-61.06
ORD-6660,2023-03-07,2022-03-15,CUST-933,Diana,Corporate,Illinois,East,PROD-928,Office Supplies,Laptop,Printer Model Z,620.79,7,0.07,33.01
ORD-6906,2023-03-21,2021-09-24,CUST-789,Diana,Consumer,Illinois,Central,PROD-150,Office Supplies,Pen,Tablet Model Z,168.45,1,0.0,17.35
ORD-7050,2023-06-05,2021-06-12,CUST-486,Frank,Home Office,California,West,PROD-812,Furniture,Printer,Notebook Model X,1254.33,3,0.17,-75.51
ORD-9261,2023-02-12,2022-05-20,CUST-205,Eve,Corporate,Florida,West,PROD-184,Furniture,Laptop,Notebook Model X,1030.18,6,0.22,-100.22
ORD-5474,2023-07-26,2023-11-27,CUST-175,Diana,Consumer,California,East,PROD-300,Technology,Pen,Pen Model Y,1246.2,1,0.03,199.21
ORD-1254,2022-07-27,2022-08-11,CUST-615,Eve,Consumer,California,West,PROD-109,Technology,Laptop,Laptop Model Y,736.24,5,0.14,-8.08
ORD-8087,2023-03-20,2022-04-04,CUST-922,Grace,Consumer,California,South,PROD-591,Office Supplies,Tablet,Laptop Model Z,1191.73,6,0.29,-209.09
ORD-5787,2023-05-29,2023-10-04,CUST-286,Charlie,Corporate,Illinois,East,PROD-367,Furniture,Monitor,Printer Model X,1200.62,2,0.15,-111.45
ORD-8862,2023-10-30,2021-09-30,CUST-631,Charlie,Home Office,Illinois,Central,PROD-311,Technology,Chair,Notebook Model X,517.72,7,0.26,-97.09
ORD-7356,2022-02-17,2022-04-26,CUST-374,Bob,Corporate,Illinois,East,PROD-597,Technology,Pen,Laptop Model Y,26.03,7,0.04,3.22
ORD-4742,2023-04-10,2023-08-16,CUST-747,Alice,Consumer,Illinois,South,PROD-547,Furniture,Tablet,Laptop Model Z,1292.49,6,0.14,69.51
ORD-3035,2022-07-20,2021-06-09,CUST-638,Grace,Corporate,Texas,West,PROD-483,Technology,Tablet,Printer Model Z,293.26,6,0.11,-0.72
ORD-2967,2021-04-14,2023-01-26,CUST-747,Bob,Consumer,New York,East,PROD-354,Technology,Notebook,Laptop Model Y,1305.7,6,0.01,240.64
ORD-9291,2022-11-08,2021-07-24,CUST-117,Charlie,Corporate,Texas,South,PROD-522,Furniture,Desk,Desk Model X,935.08,9,0.16,-56.82
ORD-2852,2023-08-03,2023-03-07,CUST-384,Diana,Consumer,New York,South,PROD-452,Office Supplies,Notebook,Monitor Model Y,959.42,9,0.12,69.86
ORD-4183,2021-09-27,2022-05-28,CUST-401,Grace,Corporate,Illinois,South,PROD-291,Furniture,Chair,Pen Model Y,385.88,2,0.18,-14.89
ORD-7618,2022-04-11,2021-04-27,CUST-598,Alice,Consumer,Texas,East,PROD-298,Technology,Desk,Monitor Model Y,615.86,9,0.16,-65.09
ORD-9303,2023-03-12,2022-01-28,CUST-998,Alice,Consumer,New York,East,PROD-356,Furniture,Tablet,Printer Model Y,481.9,2,0.14,-37.72
ORD-1182,2023-10-02,2022-11-20,CUST-749,Bob,Corporate,Florida,East,PROD-113,Office Supplies,Desk,Tablet Model X,301.72,3,0.03,50.38
ORD-7740,2021-08-22,2023-07-20,CUST-843,Alice,Corporate,California,Central,PROD-504,Technology,Printer,Pen Model Y,1092.27,9,0.13,-37.37
ORD-1164,2023-07-02,2022-12-28,CUST-951,Charlie,Consumer,New York,South,PROD-784,Technology,Laptop,Printer Model X,161.85,3,0.29,-38.5
ORD-7958,2023-11-22,2022-01-05,CUST-356,Diana,Home Office,Texas,East,PROD-980,Technology,Notebook,Notebook Model Y,777.71,4,0.08,-14.21
ORD-3137,2021-12-23,2022-07-24,CUST-318,Bob,Consumer,Texas,East,PROD-811,Office Supplies,Chair,Tablet Model Z,813.29,5,0.12,7.71
ORD-1454,2023-08-22,2023-06-21,CUST-743,Diana,Consumer,Florida,West,PROD-948,Technology,Notebook,Monitor Model X,1433.97,1,0.25,-237.64
ORD-3285,2021-04-04,2023-01-12,CUST-456,Frank,Home Office,New York,West,PROD-673,Technology,Pen,Printer Model Z,1306.7,2,0.16,4.07
ORD-8846,2021-09-01,2021-11-24,CUST-355,Bob,Consumer,California,East,PROD-656,Office Supplies,Pen,Notebook Model Y,747.7,6,0.0,136.57
ORD-5822,2021-02-27,2021-02-07,CUST-707,Frank,Corporate,Texas,East,PROD-537,Furniture,Tablet,Pen Model Y,1269.39,2,0.16,-70.58
ORD-1541,2023-08-23,2023-09-14,CUST-373,Eve,Corporate,Illinois,Central,PROD-482,Office Supplies,Monitor,Pen Model Y,1190.05,2,0.26,-125.72
ORD-7033,2021-11-16,2022-01-16,CUST-433,Grace,Home Office,Illinois,West,PROD-468,Furniture,Notebook,Chair Model X,61.29,4,0.21,-3.14
ORD-3665,2023-11-09,2023-03-08,CUST-912,Alice,Consumer,New York,Central,PROD-946,Technology,Desk,Notebook Model Z,1384.76,7,0.23,-150.93
